[-18  -8  -5  -4  -3  -2  -1   0   1   2   3   4   5],[ 1  1  1  4  7  7  3 13  7  6  8  3  2]
[-17 -11  -7  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[1 1 1 3 5 4 5 7 9 8 7 5 4 1 1 1]
[-19  -9  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 1  1  1  3  2  6  7  2 18  6  6  2  2  3  2  1]
[-19 -14  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 1  1  1  1  2  5  5  9 19  4  7  2  1  2  2  1]
[-20  -9  -8  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 1  1  1  2  3  3  5  5  4 16  2  5  5  2  5  2  1]
[-19 -11  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   9  10],[ 1  1  1  1  2  5  2  4  6 17  5  5  5  1  4  1  1  1]
[-19 -14  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   9  13  15],[ 1  1  2  1  1  3 13  3 17  7  3  2  1  2  3  1  1  1]
[-14 -12 -10  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7   8],[ 1  1  1  5  5  5  4  5 11  4  7  5  3  2  1  2  1]
"[-15 -14  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6
   9]",[ 1  1  1  1  2  1  2  3  4  5  5 12  5  8  5  2  1  3  1]
"[-14 -10  -9  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7
  10]",[1 1 1 4 1 4 1 2 9 6 9 5 5 5 3 3 1 1 1]
"[-11 -10  -9  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7
   8   9]",[ 1  3  1  4  5  1  1  3  5  6 13  4  4  3  2  3  1  1  1  1]
[-12 -10  -8  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7   8],[1 2 2 3 2 5 5 5 4 9 6 6 2 5 1 2 2 1]
[-11 -10  -9  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 1  1  3  2  1  2  4  2  5  9 10  2  7  5  3  3  2  1]
"[-10  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7   9
  12  13]",[ 3  1  2  3  4  2  4  5  8 13  2  2  4  2  1  3  1  1  1  1]
[-18 -10  -9  -8  -7  -5  -4  -3  -2  -1   0   1   2   3   4   5   6],[ 1  1  1  2  1  5  1  5  7  4 12  7  3  4  4  1  4]
"[-12 -10  -9  -8  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7
  10]",[1 1 1 2 1 6 3 8 5 6 6 5 3 1 5 3 1 4 1]
"[-11 -10  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6
   8]",[ 1  1  2  1  2  2  2  4  4  3  5 15  4  3  5  1  4  3  1]
"[-14 -13 -10  -9  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6
   8   9]",[ 1  1  1  1  2  4  5  3  2  2  6 11  7  4  4  4  2  1  1  1]
"[-13 -12  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   6   8
   9  11  12]",[ 1  1  1  2  3  2  1  2  3  5  8 14  6  4  3  1  1  1  2  1  1]
[-12 -11  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   5   6  12],[ 1  1  1  1  2  1  2  3  8  4  2 14  4  6  7  2  3  1]
"[-13  -9  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7   8
   9]",[ 1  4  4  1  3  5  1  3  3 14  5  5  1  3  3  2  3  1  1]
"[-16 -12 -10  -8  -7  -6  -4  -3  -2  -1   0   1   2   3   4   5   6   7
   8]",[ 1  1  2  1  1  1  7  3  6  4 17  4  4  1  4  3  1  1  1]
[-13  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   5   6   8   9],[1 1 1 3 3 3 1 7 6 7 9 2 7 2 4 3 1 2]
[-13 -10  -8  -7  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 2  1  1  2  5  2  8  4  4 11  5  5  2  2  5  3  1]
"[-17  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8
  10]",[ 1  1  1  2  2  3  2  2  7  4 13  9  2  3  4  2  3  1  1]
[-11  -7  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7  10],[ 2  3  4  2  5  9  6 13  3  4  2  3  4  1  1  1]
[-12 -11  -8  -7  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 1  1  3  1  4  6  3  7  5 11  5  7  1  3  1  2  2]
[-9 -8 -7 -6 -5 -4 -3 -2 -1  0  1  2  3  5  6  7  8],[ 2  2  2  2  3  4  3  3  7 17  5  5  4  1  1  1  1]
[-10  -9  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   6   7   9],[ 1  1  2  1  3  4  3  6 10 10  6  6  4  2  1  2  1]
[-11 -10  -9  -8  -7  -5  -3  -2  -1   0   1   2   3   4   5   6   7   9],[ 1  1  1  2  3  2  1  7  7 17  6  2  7  2  1  1  1  1]
[-13 -10  -5  -4  -3  -2  -1   0   1   2   3   4   5],[ 1  1  5  2  7  4  8 15  4  4  4  7  1]
