[-20  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   6   7],[ 1  2  2  1  2  3  8  8 11  8  7  2  5  1  2]
"[-20 -11 -10  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7
  12]",[ 1  1  1  1  1  2  3  3  4 12 12  8  2  4  2  2  1  2  1]
[-17 -14  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   7  11],[ 1  1  1  3  2  3  3  5  9 14  3  3  4  5  2  2  1  1]
[-19 -14  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6   8],[ 1  1  1  1  2  5  5  9 19  4  7  2  1  2  2  1]
"[-27 -15 -11  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5
   6   7   8]",[1 1 1 1 1 1 1 5 5 3 3 5 7 4 3 3 8 4 2 3 1]
"[-19 -16 -10  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   5   6
   7   9  11  12  13]",[1 1 1 2 3 2 3 3 3 2 7 9 5 6 3 2 2 3 1 1 1 1 1]
"[-28 -26 -11 -10  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4   6   7
   8   9  12  17]",[ 1  1  1  1  1  3  2  1  4  2  9 14  3  3  7  2  1  2  1  2  1  1]
"[-26 -18 -14 -11 -10  -9  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3
   4   5   6   7   8   9  10  11]",[1 1 1 1 2 1 1 3 4 3 2 3 1 5 7 2 3 3 7 2 2 1 3 2 1 1]
"[-21 -20 -17 -12 -10  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2   3   4
   5   6   8  10  11  13]",[1 2 1 2 1 4 1 2 1 3 4 6 2 6 5 4 3 1 5 4 1 1 1 2]
"[-25 -24 -15 -12 -11 -10  -9  -8  -7  -6  -5  -3  -2  -1   0   1   2   3
   4   5   6   7   8   9  15]","[ 1  1  2  2  2  1  2  1  1  3  1  2  2  8 10  2  3  2  4  4  4  2  1  1
  1]"
"[-30 -19 -18 -16 -14 -11 -10  -8  -7  -6  -5  -4  -3  -2  -1   0   1   2
   3   4   5   6   7   8   9  12  13  15  18]",[1 1 1 1 1 2 4 2 1 5 1 3 4 4 1 6 5 1 2 1 4 2 2 3 1 1 1 1 1]
